,id,imdb_id,release_year,popularity,budget,revenue,runtime,vote_average,variable,value,profit
0,135397,tt0369610,2015,32.985763,150000000,1513528810,124,6.5,Action,1,1363528810
1,76341,tt1392190,2015,28.419936,150000000,378436354,120,7.1,Action,1,228436354
3,140607,tt2488496,2015,11.173103999999999,200000000,2068178225,136,7.5,Action,1,1868178225
4,168259,tt2820852,2015,9.335014,190000000,1506249360,137,7.3,Action,1,1316249360
6,87101,tt1340138,2015,8.654359,155000000,440603537,125,5.8,Action,1,285603537
10,206647,tt2379713,2015,6.200282,245000000,880674609,148,6.2,Action,1,635674609
11,76757,tt1617661,2015,6.189369,176000003,183987723,124,5.2,Action,1,7987720
13,257344,tt2120120,2015,5.984995,88000000,243637091,105,5.8,Action,1,155637091
14,99861,tt2395427,2015,5.944927,280000000,1405035767,141,7.4,Action,1,1125035767
16,260346,tt2446042,2015,5.749758,48000000,325771424,109,6.1,Action,1,277771424
17,102899,tt0478970,2015,5.5731839999999995,130000000,518602163,115,7.0,Action,1,388602163
20,158852,tt1964418,2015,5.4621379999999995,190000000,209035668,130,6.2,Action,1,19035668
21,307081,tt1798684,2015,5.337064,30000000,91709827,123,7.3,Action,1,61709827
22,254128,tt2126355,2015,4.907832,110000000,470490832,114,6.1,Action,1,360490832
25,177677,tt2381249,2015,4.566713,150000000,682330139,131,7.1,Action,1,532330139
27,207703,tt2802144,2015,4.503789,81000000,403802136,130,7.6,Action,1,322802136
29,294254,tt4046784,2015,3.968891,61000000,311256926,132,6.4,Action,1,250256926
31,198184,tt1823672,2015,3.899557,49000000,102069268,120,6.6,Action,1,53069268
38,241554,tt2199571,2015,3.23737,50000000,71561644,114,6.3,Action,1,21561644
41,274854,tt1618442,2015,3.080505,90000000,140396650,106,5.6,Action,1,50396650
43,203801,tt1638355,2015,3.0534209999999997,75000000,108145109,116,7.0,Action,1,33145109
45,325348,tt3072482,2015,3.023253,10000000,14333790,97,5.9,Action,1,4333790
