,release_year,id,popularity,budget,revenue,runtime,vote_count,vote_average,budget_adj,revenue_adj,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,profit
0,1960,502889,14.685833999999996,359665668,145275600,3541,2481,202.4,162625159.80906948,1069117146.1307384,8,5,0,8,2,0,13,3,2,1,5,7,1,0,6,3,0,6,2,6,-214390068
1,1961,578367,13.107640999999997,310352520,337947492,3702,2405,197.60000000000002,336563011.5521417,2463621898.5897546,7,6,1,10,2,0,16,5,2,1,3,3,2,1,7,4,0,0,2,3,27594972
2,1962,544034,14.553068999999999,318937646,215828798,3979,2392,203.00000000000003,394461647.8081622,1553996299.1823444,8,7,0,5,3,0,21,2,1,1,4,5,1,4,5,2,0,7,3,3,-103108848
3,1963,562904,17.092018999999983,410940220,187697237,3785,2816,215.2,522133433.58545756,1334357136.8049889,4,7,1,13,4,0,13,3,2,2,4,9,0,6,8,2,0,10,1,2,-223242983
4,1964,729942,17.321989,494521001,341349798,4587,3137,260.9,277577180.03319633,2397193109.494304,5,5,2,16,10,0,20,4,4,1,3,6,5,4,9,4,0,9,3,1,-153171203
5,1965,614765,11.990528999999999,422492475,458406574,4136,1820,216.80000000000004,485858969.9848221,3170184647.5599027,9,6,1,7,2,0,20,3,0,1,4,5,2,3,5,2,1,11,8,4,35914099
6,1966,759644,13.989151999999999,556628560,85180473,4917,1460,281.8999999999999,386653992.0122797,569262321.6786959,14,11,3,16,5,1,16,7,2,2,2,3,0,6,6,6,0,8,4,7,-471448087
7,1967,697188,18.846147,423582280,738116061,4198,3102,249.7,657939651.2898005,4823050701.100579,7,7,2,17,7,1,16,3,3,0,0,4,5,3,11,4,0,5,1,2,314533781
8,1968,726515,18.883865999999998,424226360,265025228,4184,4217,248.79999999999998,450982973.49482125,1659601419.2933595,6,5,3,9,5,0,20,5,5,0,3,4,3,4,6,4,0,5,4,1,-159201132
9,1969,591357,13.106127,350380527,244238500,3304,1733,184.8,250426423.68099716,1450145313.4826605,10,5,3,12,3,0,13,4,2,0,3,1,2,1,4,3,1,3,3,7,-106142027
10,1970,751907,14.009685999999997,508611586,560525041,4594,2011,263.09999999999997,713093136.2362449,3146412932.2497444,11,6,2,12,4,3,19,3,3,1,3,5,4,3,6,3,1,5,5,8,51913455
11,1971,1137584,24.64615299999999,545713480,405354394,5925,5081,353.1,409258657.9124926,2180522557.7737126,11,5,1,9,10,0,30,2,2,0,3,7,1,6,9,6,1,17,4,5,-140359086
